Question	Answer	Source	Metadata	SuggestedQuestions
What is Gurdwara?	"The place where Sikhs gather to worship is called a Gurdwara and literally means the Guru’s Door. A Gurdwara meeting place has no specific design. It can be a bare, clean, simple room or an elaborate building, such as the Golden Temple. "	Gurdwara Knowledge Base.docx		[]
What You Need to Know Before Visiting a Gurdwara Sahib?	"Visiting a Gurdwara Sahib can be a life-changing experience. Be modestly dressed when visiting a Gurdwara. When entering the main hall of the Gurdwara Sahib, remove your shoes and cover your head. A basket is usually placed besides the door of the main hall, which contains small pieces of cloth. If you do not wear a turban, please pick one of the cloths from the basket and cover your head with it. Never enter a Gurdwara Sahib if you have consumed alcohol or if you have any cigarettes or tobacco on you. After you have covered your head, enter the main hall and walk up to the congregation where the Sikh Holy Scripture, Guru Granth Sahib Ji are present. Bow your head and place offering of flowers, food items or money as a sign of respect (not compulsory) and then join the congregation seated on the carpeted floor. The common way to sit is cross-legged on the floor. Be aware that sitting with legs stretched out with feet pointing towards the Guru Granth Sahib Ji is disrespectful."	Gurdwara Knowledge Base.docx		[]
What is the significance of the person standing beside Guru Granth Sahib Ji and waving a wisk?	"In the ancient times, the emperors from India had few people on the left and right side waving the wisk. The wisk in Punjabi is called a chauwr. It was a symbol of respect and higher authority. People wave the chauwr to show their respect. "	Gurdwara Knowledge Base.docx		[]
Why do men and women sit on the separate sides in the Gurdwara Sahib?	There’s no hard and fast rule regarding seating arrangement. It is more cultural than religious. Indian men and women often sit on separate side of a congregation. This is because both feel more comfortable sitting with the same gender. Sometimes the whole family sits together as there is no hard and fast rule about seating arrangement for families in the Gurdwara Sahib.	Gurdwara Knowledge Base.docx		[]
What is Sikhism and who are the Sikhs?	"Sikhism is a monotheistic faith. Sikhism recognizes God as One and highest of all, who is not subject to time, form, space, birth or death. Sikhism states that you do not have to fast, perform rituals or go to pilgrimages in order to be one with God, all you have to do is have love towards God and live an honest life. Sikhism promotes equality between all man and woman. Sikhs are the members of Sikh religion."	Gurdwara Knowledge Base.docx		[]
Who are Sikh Gurus and how does one become a Guru?	Sikh Gurus are One with God and show us the way to meet God. God chooses the Guru and sends the Guru to this world in order to deliver His message. Guru is a spiritual teacher. Humans cannot choose a Guru as Guru is chosen by God.	Gurdwara Knowledge Base.docx		[]
How is Sikhism different from other religions?	"Sikhism is different from other religions. Sikhism focuses on unity with God. Sikhism instructs to be one with God though meditation and simple, ethical and moral lifestyle. While some religions practice animal sacrifice, fasts, pilgrimage, omens and other rituals, Sikhism instructs that there is no need of such ritual because we can meet God with pure love towards Him."	Gurdwara Knowledge Base.docx		[]
How do Sikhs greet each other? What does Sat Shri Akal mean?	Sikhs greet each other by saying “Sat Shri Akal”. Sat Shri Akal means “God is the supreme truth”. Sikhs remember God every time they meet or greet each other by saying Sat Shri Akal.	Gurdwara Knowledge Base.docx		[]
Why do some names end in Ji or Sahib?	"Sahib is another word for respect but it is used to denote someone who has higher status. For example: Guru Granth Sahib Ji. Sahib is also used as a form of respect to people at higher military, political and work related posts."	Gurdwara Knowledge Base.docx		[]
Who is God? What does God look like?	"Guru Granth Sahib Ji, the Sikh Holy Scripture describes the characteristics of God. Throughout 1430 pages, Guru Granth Sahib Ji describes and praises God."	Gurdwara Knowledge Base.docx		[]
What is the Sikh name for God?	"Sikhs refer to God as Waheguru, Akal Purakh and Oankar. God has many Names. Hindus call Him Ram, Christians call Him God and Muslims call Him Allah. It does not matter by which name you address Him. He knows you are referring to Him."	Gurdwara Knowledge Base.docx		[]
How is Sikhism a direct way to meet God?	"Sikhism instructs that God loves everyone. One does not have to belong to a certain color, class, gender or culture in order to become close to God. One can only meet God by doing good deeds and having pure love towards God. "	Gurdwara Knowledge Base.docx		[]
What are the Sikh beliefs?	Sikhism is a monotheistic faith formed in the fifteenth century by Guru Nanak Dev Ji. Guru Nanak Dev Ji along with the following nine Gurus were sent by God Himself to deliver His message. The Tenth Guru then compiled all the teaching of Gurus into the Holy Scripture known as Guru Granth Sahib Ji which presides as the eleventh Guru of Sikhs.	Gurdwara Knowledge Base.docx		[]
What is the belief of Sikhs about God?	"Sikhism recognizes God as the only One. He who is the Creator of the Universe, fearless, not subject to time or space, and does not take birth or die. Sikhism clearly states that God does NOT take birth as a human. Furthermore, Sikhism does not recognize any other gods, goddesses and deities except the One Supreme Being."	Gurdwara Knowledge Base.docx		[]
Who is Guru?	Guru is one with God and delivers the message of God.	Gurdwara Knowledge Base.docx		[]
Do Sikhs believe in rituals?	"The Sikh religion rejects all rituals, superstitions and routine practices like fasting and pilgrimage, animal sacrifice, omens and austerities."	Gurdwara Knowledge Base.docx		[]
What do Sikhs say about rights?	Sikh religion instructs that all humans are equal.	Gurdwara Knowledge Base.docx		[]
What do Sikhs say about equality?	Sikhism instructs to consider all human races equal. No one is superior or inferior. Sikhism instructs to consider all men and women equal. Women have equal status as men.	Gurdwara Knowledge Base.docx		[]
What do you know about lifestyle in Sikhism?	Sikh Gurus themselves lived a family and social life and showed everyone how one can be close to God while living a family life. Sikh Guru created a lifestyle for Sikhs. Sikhs that follow this lifestyle are less likely to deviate from the path to God.	Gurdwara Knowledge Base.docx		[]
